"Trades Count","Win Rate %","Iteration"
"0","52.45","629"
"0","52.45","630"
"0","52.45","631"
"1","52.45","632"
"0","52.45","633"
"0","52.45","634"
"0","52.45","635"
"0","52.45","636"
"0","51.75","637"
"0","51.75","638"
"0","52.45","639"
"0","52.45","640"
"1","51.75","641"
"0","51.75","642"
"0","52.45","643"
"0","52.45","644"
"0","51.75","645"
"0","51.75","646"
"0","51.75","647"
"0","51.75","648"
"0","52.45","649"
"0","52.45","650"
"0","0","651"
"0","0","652"
"0","51.75","653"
"0","51.75","654"
"0","51.75","655"
"0","51.75","656"
"0","52.45","657"
"0","52.45","658"
"0","52.45","659"
"1","52.45","660"
"0","52.45","661"
"0","52.45","662"
"0","52.45","663"
"0","52.45","664"
"0","51.75","665"
"0","51.75","666"
"0","51.75","667"
"0","51.75","668"
"1","51.75","669"
"0","51.75","670"
"0","52.45","671"
"0","52.45","672"
"0","52.45","673"
"0","52.45","674"
"1","52.45","675"
"0","52.45","676"
"0","51.75","677"
"1","51.75","678"
"1","52.45","679"
"0","52.45","680"
"1","51.75","681"
"0","51.75","682"
"1","51.75","683"
"0","51.75","684"
"1","52.45","685"
"0","52.45","686"
"1","51.75","687"
"1","51.75","688"
"1","51.75","689"
"0","51.75","690"
"1","52.45","691"
"1","52.45","692"
"1","51.75","693"
"1","51.75","694"
"1","51.75","695"
"1","51.75","696"
"1","52.45","697"
"1","52.45","698"
"1","0","699"
"1","0","700"
"1","51.75","701"
"1","51.75","702"
"1","51.75","703"
"1","51.75","704"
"1","51.75","705"
"1","51.75","706"
"1","52.45","707"
"1","52.45","708"
"1","51.75","709"
"1","51.75","710"
"1","52.45","711"
"1","52.45","712"
"1","52.45","713"
"1","52.45","714"
"1","52.45","715"
"1","52.45","716"
"1","52.45","717"
"1","52.45","718"
"1","51.75","719"
"1","51.75","720"
"1","51.75","721"
"1","51.75","722"
"1","52.45","723"
"1","52.45","724"
"1","51.75","725"
"1","51.75","726"
"1","52.45","727"
"1","52.45","728"
"1","52.45","729"
"1","52.45","730"
"1","52.45","731"
"1","52.45","732"
"1","51.75","733"
"1","51.75","734"
"1","52.45","735"
"1","52.45","736"
"1","52.45","737"
"1","52.45","738"
"1","52.45","739"
"1","52.45","740"
"3","0","741"
"4","0","742"
"4","52.45","743"
"4","52.45","744"
"4","52.45","745"
"4","52.45","746"
"4","52.45","747"
"4","52.45","748"
"4","52.45","749"
"4","52.45","750"
"4","52.45","751"
"4","52.45","752"
"4","51.75","753"
"4","51.75","754"
"4","52.45","755"
"4","52.45","756"
"4","52.45","757"
"4","52.45","758"
"4","52.45","759"
"4","52.45","760"
"4","52.45","761"
"4","52.45","762"
"4","51.75","763"
"4","51.75","764"
"4","52.45","765"
"4","52.45","766"
"4","52.45","767"
"4","52.45","768"
"4","52.45","769"
"4","52.45","770"
"4","51.75","771"
"4","51.75","772"
"4","52.45","773"
"4","52.45","774"
"4","51.75","775"
"4","51.75","776"
"4","52.45","777"
"4","52.45","778"
"4","52.45","779"
"4","52.45","780"
"4","52.45","781"
"4","52.45","782"
"4","52.45","783"
"4","52.45","784"
"4","51.75","785"
"3","51.75","786"
"4","51.75","787"
"4","51.75","788"
"4","0","789"
"4","0","790"
"4","52.45","791"
"4","52.45","792"
"4","52.45","793"
"4","52.45","794"
"4","51.75","795"
"4","51.75","796"
"4","52.45","797"
"4","52.45","798"
"4","51.75","799"
"4","51.75","800"
"4","52.45","801"
"4","52.45","802"
