symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2023-12-28T10:08:00+05:30,2744.7,STOP_LOSS,6,-2.0,-2.18,1.6874536541155756,1.2528065007826137,True,True,True
ADANIENT,2023-12-28T14:41:00+05:30,2734.3,STOP_LOSS,9,-2.0,-2.18,1.1770234330708624,2.0382600914155455,True,True,True
ADANIENT,2024-01-05T14:21:00+05:30,2897.3,TIME_HORIZON,40,5.861146092494156,5.681146092494156,3.1285847385610714,0.9504561231072042,True,True,True
ADANIENT,2024-01-08T14:27:00+05:30,2894.3,STOP_LOSS,7,-2.0,-2.18,1.4893857779437603,3.1519559486720046,True,True,True
ADANIENT,2024-01-08T15:05:00+05:30,2877.4,STOP_LOSS,7,-2.0,-2.18,1.0012607594798208,1.4184527425965314,True,True,True
ADANIENT,2024-01-11T14:11:00+05:30,2981.2,STOP_LOSS,2,-2.0,-2.18,1.0931714040905085,2.493797265581167,True,True,True
ADANIENT,2024-01-16T10:13:00+05:30,2978.3,STOP_LOSS,5,-2.0,-2.18,1.6362253096692856,1.1573300970832152,True,True,True
ADANIENT,2024-01-16T13:16:00+05:30,2952.5,STOP_LOSS,23,-2.0,-2.18,1.802018419734086,1.4560308831451285,True,True,True
ADANIENT,2024-01-17T13:49:00+05:30,2857.1,TIME_HORIZON,40,4.438089186219723,4.258089186219723,5.083629431488071,0.013448755109744507,True,True,True
ADANIENT,2024-01-18T09:48:00+05:30,2837.6,STOP_LOSS,3,-2.0,-2.18,0.43718066907925573,1.2536798598595968,True,False,False
ADANIENT,2024-01-20T10:05:00+05:30,2814.3,STOP_LOSS,5,-2.0,-2.18,0.630621047393932,1.2192006916283067,True,True,False
ADANIENT,2024-01-23T14:39:00+05:30,2811.5,STOP_LOSS,1,-2.0,-2.18,0.07006426298490574,1.2191181759373344,False,False,False
ADANIENT,2024-01-25T10:19:00+05:30,2783.5,STOP_LOSS,2,-2.0,-2.18,0.16224310474107273,1.7125661056000392,False,False,False
ADANIENT,2024-01-31T12:55:00+05:30,2982.7,VWAP_Z_TARGET,18,6.742796506988486,6.562796506988486,3.3964644115128215,0.5138562393801503,True,True,True
ADANIENT,2024-02-01T12:05:00+05:30,2994.7,VWAP_Z_TARGET,41,10.107996052502138,9.927996052502138,5.317357724889449,0.7148334677327554,True,True,True
ADANIENT,2024-02-08T09:35:00+05:30,3112.0,STOP_LOSS,5,-2.0,-2.18,0.38618119322883243,1.2357798183322521,True,False,False
ADANIENT,2024-02-08T10:43:00+05:30,3104.7,STOP_LOSS,15,-2.0,-2.18,0.9303664836869385,2.473413334679608,True,True,False
ADANIENT,2024-02-09T10:01:00+05:30,3045.1,VWAP_Z_TARGET,11,7.1754247127141335,6.995424712714134,3.5877123563570668,0.3279091938605985,True,True,True
ADANIENT,2024-02-09T10:49:00+05:30,3049.0,STOP_LOSS,8,-2.0,-2.18,1.9674756893636367,1.432835556384377,True,True,True
ADANIENT,2024-02-12T12:09:00+05:30,3067.4,TIME_HORIZON,40,8.720830535845094,8.540830535845094,5.3976946708645,0.5378485793032609,True,True,True
ADANIENT,2024-02-12T15:17:00+05:30,3067.5,STOP_LOSS,17,-2.0,-2.18,4.452597973482438,1.636630606469264,True,True,True
