run_id,symbol,bar_index,decision_timestamp,fill_timestamp,decision_date,fill_date,decision_close,next_open,slippage_pct,is_session_gap,gap_type
slippage-20260908T120131-a47b2a2fb05c,M&M,3644,2024-08-14 08:13:00+00:00,2024-08-14 08:14:00+00:00,2024-08-14,2024-08-14,2758.35,2759.5,0.041692,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3705,2024-08-14 09:14:00+00:00,2024-08-14 09:15:00+00:00,2024-08-14,2024-08-14,2758.4,2758.4,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3718,2024-08-14 09:27:00+00:00,2024-08-14 09:28:00+00:00,2024-08-14,2024-08-14,2744.0,2745.0,0.036443,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3751,2024-08-16 03:45:00+00:00,2024-08-16 03:46:00+00:00,2024-08-16,2024-08-16,2806.9,2807.45,0.019595,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3757,2024-08-16 03:51:00+00:00,2024-08-16 03:52:00+00:00,2024-08-16,2024-08-16,2834.0,2834.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3788,2024-08-16 04:22:00+00:00,2024-08-16 04:23:00+00:00,2024-08-16,2024-08-16,2816.0,2814.95,0.037287,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,3843,2024-08-16 05:17:00+00:00,2024-08-16 05:18:00+00:00,2024-08-16,2024-08-16,2798.7,2798.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4071,2024-08-16 09:05:00+00:00,2024-08-16 09:06:00+00:00,2024-08-16,2024-08-16,2828.55,2828.8,0.008838,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4126,2024-08-19 03:45:00+00:00,2024-08-19 03:46:00+00:00,2024-08-19,2024-08-19,2837.2,2839.45,0.079304,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4135,2024-08-19 03:54:00+00:00,2024-08-19 03:55:00+00:00,2024-08-19,2024-08-19,2815.0,2815.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4196,2024-08-19 04:55:00+00:00,2024-08-19 04:56:00+00:00,2024-08-19,2024-08-19,2791.6,2791.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4257,2024-08-19 05:56:00+00:00,2024-08-19 05:57:00+00:00,2024-08-19,2024-08-19,2784.75,2784.75,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4318,2024-08-19 06:57:00+00:00,2024-08-19 06:58:00+00:00,2024-08-19,2024-08-19,2782.6,2782.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4379,2024-08-19 07:58:00+00:00,2024-08-19 07:59:00+00:00,2024-08-19,2024-08-19,2786.3,2786.35,0.001794,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4440,2024-08-19 08:59:00+00:00,2024-08-19 09:00:00+00:00,2024-08-19,2024-08-19,2779.7,2779.3,0.01439,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4501,2024-08-20 03:45:00+00:00,2024-08-20 03:46:00+00:00,2024-08-20,2024-08-20,2777.6,2776.2,0.050403,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4562,2024-08-20 04:46:00+00:00,2024-08-20 04:47:00+00:00,2024-08-20,2024-08-20,2769.95,2769.05,0.032492,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4623,2024-08-20 05:47:00+00:00,2024-08-20 05:48:00+00:00,2024-08-20,2024-08-20,2756.55,2756.55,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4684,2024-08-20 06:48:00+00:00,2024-08-20 06:49:00+00:00,2024-08-20,2024-08-20,2754.3,2754.3,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4745,2024-08-20 07:49:00+00:00,2024-08-20 07:50:00+00:00,2024-08-20,2024-08-20,2753.9,2753.5,0.014525,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4806,2024-08-20 08:50:00+00:00,2024-08-20 08:51:00+00:00,2024-08-20,2024-08-20,2758.0,2758.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4850,2024-08-20 09:34:00+00:00,2024-08-20 09:35:00+00:00,2024-08-20,2024-08-20,2772.6,2772.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4911,2024-08-21 04:20:00+00:00,2024-08-21 04:21:00+00:00,2024-08-21,2024-08-21,2762.6,2763.0,0.014479,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,4972,2024-08-21 05:21:00+00:00,2024-08-21 05:22:00+00:00,2024-08-21,2024-08-21,2761.25,2761.25,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5033,2024-08-21 06:22:00+00:00,2024-08-21 06:23:00+00:00,2024-08-21,2024-08-21,2759.5,2759.5,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5094,2024-08-21 07:23:00+00:00,2024-08-21 07:24:00+00:00,2024-08-21,2024-08-21,2760.35,2760.35,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5155,2024-08-21 08:24:00+00:00,2024-08-21 08:25:00+00:00,2024-08-21,2024-08-21,2767.4,2767.7,0.010841,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5216,2024-08-21 09:25:00+00:00,2024-08-21 09:26:00+00:00,2024-08-21,2024-08-21,2764.5,2764.5,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5277,2024-08-22 04:11:00+00:00,2024-08-22 04:12:00+00:00,2024-08-22,2024-08-22,2754.7,2754.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5338,2024-08-22 05:12:00+00:00,2024-08-22 05:13:00+00:00,2024-08-22,2024-08-22,2753.85,2753.85,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5399,2024-08-22 06:13:00+00:00,2024-08-22 06:14:00+00:00,2024-08-22,2024-08-22,2752.75,2752.75,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5460,2024-08-22 07:14:00+00:00,2024-08-22 07:15:00+00:00,2024-08-22,2024-08-22,2747.15,2746.85,0.01092,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5521,2024-08-22 08:15:00+00:00,2024-08-22 08:16:00+00:00,2024-08-22,2024-08-22,2733.35,2733.35,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5582,2024-08-22 09:16:00+00:00,2024-08-22 09:17:00+00:00,2024-08-22,2024-08-22,2728.7,2728.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5634,2024-08-23 03:53:00+00:00,2024-08-23 03:54:00+00:00,2024-08-23,2024-08-23,2743.95,2744.0,0.001822,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5695,2024-08-23 04:54:00+00:00,2024-08-23 04:55:00+00:00,2024-08-23,2024-08-23,2750.75,2750.75,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5860,2024-08-23 07:39:00+00:00,2024-08-23 07:40:00+00:00,2024-08-23,2024-08-23,2763.2,2763.25,0.001809,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5922,2024-08-23 08:41:00+00:00,2024-08-23 08:42:00+00:00,2024-08-23,2024-08-23,2763.3,2763.3,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,5983,2024-08-23 09:42:00+00:00,2024-08-23 09:43:00+00:00,2024-08-23,2024-08-23,2760.75,2760.8,0.001811,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6021,2024-08-26 04:05:00+00:00,2024-08-26 04:06:00+00:00,2024-08-26,2024-08-26,2784.7,2784.05,0.023342,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6082,2024-08-26 05:06:00+00:00,2024-08-26 05:07:00+00:00,2024-08-26,2024-08-26,2771.65,2771.65,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6143,2024-08-26 06:07:00+00:00,2024-08-26 06:08:00+00:00,2024-08-26,2024-08-26,2770.85,2771.05,0.007218,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6284,2024-08-26 08:28:00+00:00,2024-08-26 08:29:00+00:00,2024-08-26,2024-08-26,2780.0,2779.1,0.032374,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6345,2024-08-26 09:29:00+00:00,2024-08-26 09:30:00+00:00,2024-08-26,2024-08-26,2794.35,2794.35,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6399,2024-08-27 04:08:00+00:00,2024-08-27 04:09:00+00:00,2024-08-27,2024-08-27,2778.45,2779.6,0.04139,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6460,2024-08-27 05:09:00+00:00,2024-08-27 05:10:00+00:00,2024-08-27,2024-08-27,2796.55,2796.6,0.001788,False,intraday
slippage-20260908T120131-a47b2a2fb05c,M&M,6522,2024-08-27 06:11:00+00:00,2024-08-27 06:12:00+00:00,2024-08-27,2024-08-27,2788.5,2788.45,0.001793,False,intraday
