trade_id,symbol,side,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_cost,exit_cost,gross_pnl,net_pnl,exit_reason,same_session,total_cost,cost_to_gross_ratio,entry_ist,exit_ist,entry_hour_ist,hold_minutes
65_KOTAKBANK_exit,KOTAKBANK,SHORT,-1,2023-10-04T03:50:00+00:00,2023-10-04T04:50:00+00:00,342.5,342.8,14,2.8026774999999997,1.6053324,-4.200000000000159,-8.608009900000159,TIME_EXIT,True,4.4080099,1.049526166666627,2023-10-04T09:20:00+05:30,2023-10-04T10:20:00+05:30,9,60.0
23_NTPC_exit,NTPC,SHORT,-1,2023-10-04T04:06:00+00:00,2023-10-04T04:08:00+00:00,232.65,233.97120935706982,21,2.8556624250000002,1.643530760128737,-27.745396498466192,-32.244589683594924,STOP_HIT,True,4.499193185128737,0.1621599887886792,2023-10-04T09:36:00+05:30,2023-10-04T09:38:00+05:30,9,2.0
25_M&M_exit,M&M,SHORT,-1,2023-10-04T04:06:00+00:00,2023-10-04T04:10:00+00:00,1504.25,1512.2747052867257,3,2.637702375,1.5175676667552294,-24.074115860177244,-28.229385901932474,STOP_HIT,True,4.155270041755229,0.1726032252186991,2023-10-04T09:36:00+05:30,2023-10-04T09:40:00+05:30,9,4.0
59_TITAN_exit,TITAN,LONG,1,2023-10-04T04:12:00+00:00,2023-10-04T04:44:00+00:00,3193.25,3176.4085157803343,1,1.0681421249999998,1.8566107774736054,-16.841484219665745,-19.76623712213935,STOP_HIT,True,2.924752902473605,0.17366360733565162,2023-10-04T09:42:00+05:30,2023-10-04T10:14:00+05:30,9,32.0
89_MAXHEALTH_exit,MAXHEALTH,SHORT,-1,2023-10-04T04:14:00+00:00,2023-10-04T05:14:00+00:00,571.45,569.05,8,2.6721002,1.5227777999999998,19.200000000000728,15.005122000000728,TIME_EXIT,True,4.194878,0.21848322916665838,2023-10-04T09:44:00+05:30,2023-10-04T10:44:00+05:30,9,60.0
120_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T04:45:00+00:00,2023-10-04T05:45:00+00:00,102.55,102.45,50,2.9970237500000003,1.7134762499999998,4.999999999999716,0.28949999999971565,TIME_EXIT,True,4.7105,0.9421000000000535,2023-10-04T10:15:00+05:30,2023-10-04T11:15:00+05:30,10,60.0
122_INFY_exit,INFY,LONG,1,2023-10-04T04:47:00+00:00,2023-10-04T05:47:00+00:00,1396.1,1400.2,3,1.4009863499999997,2.4552507000000006,12.30000000000041,8.443762950000409,TIME_EXIT,True,3.8562370500000003,0.3135152073170628,2023-10-04T10:17:00+05:30,2023-10-04T11:17:00+05:30,10,60.0
124_SBIN_exit,SBIN,SHORT,-1,2023-10-04T04:49:00+00:00,2023-10-04T05:49:00+00:00,594.1,594.25,8,2.7780116,1.5902129999999999,-1.199999999999818,-5.568224599999818,TIME_EXIT,True,4.3682246,3.6401871666672183,2023-10-04T10:19:00+05:30,2023-10-04T11:19:00+05:30,10,60.0
126_KOTAKBANK_exit,KOTAKBANK,SHORT,-1,2023-10-04T04:51:00+00:00,2023-10-04T05:51:00+00:00,342.8,343.6,14,2.8051323999999997,1.6090788,-11.20000000000016,-15.61421120000016,TIME_EXIT,True,4.4142112,0.39412599999999437,2023-10-04T10:21:00+05:30,2023-10-04T11:21:00+05:30,10,60.0
150_MAXHEALTH_exit,MAXHEALTH,SHORT,-1,2023-10-04T05:15:00+00:00,2023-10-04T06:15:00+00:00,568.8,567.0,8,2.6597087999999998,1.5172919999999999,14.399999999999636,10.222999199999636,TIME_EXIT,True,4.1770008,0.2900695000000073,2023-10-04T10:45:00+05:30,2023-10-04T11:45:00+05:30,10,60.0
161_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T05:46:00+00:00,2023-10-04T06:26:00+00:00,102.5,101.19237865777404,48,2.87574,1.62474483172922,62.76582442684594,58.26533959511672,TARGET_HIT,True,4.50048483172922,0.07170279165176219,2023-10-04T11:16:00+05:30,2023-10-04T11:56:00+05:30,11,40.0
183_HDFCBANK_exit,HDFCBANK,SHORT,-1,2023-10-04T05:48:00+00:00,2023-10-04T06:48:00+00:00,760.4,760.4,7,3.1111766,1.7804765999999999,0.0,-4.8916531999999995,TIME_EXIT,True,4.8916531999999995,,2023-10-04T11:18:00+05:30,2023-10-04T12:18:00+05:30,11,60.0
185_INFY_exit,INFY,LONG,1,2023-10-04T05:50:00+00:00,2023-10-04T06:50:00+00:00,1401.7,1399.5,3,1.40660595,2.4540232499999997,-6.600000000000136,-10.460629200000135,TIME_EXIT,True,3.8606292,0.5849438181818061,2023-10-04T11:20:00+05:30,2023-10-04T12:20:00+05:30,11,60.0
160_SBIN_exit,SBIN,SHORT,-1,2023-10-04T05:52:00+00:00,2023-10-04T06:25:00+00:00,593.55,586.9552550990581,8,2.7754398,1.5706922626450794,52.75795920753444,48.41182714488936,TARGET_HIT,True,4.346132062645079,0.08237869940246668,2023-10-04T11:22:00+05:30,2023-10-04T11:55:00+05:30,11,33.0
