finalist,trade_id,symbol,exit_reason,net_pnl,entry_hour_ist,hold_minutes,range_atr,volume_ratio,signed_move5_atr,signed_vwap_gap_atr
1,eod_flatten_ETERNAL_1125,ETERNAL,EOD_FLATTENING,2.214579150000239,14,43.0,0.8823529411764374,2.2880689065165347,-2.941176470588292,-5.784809338461274
1,5_ETERNAL_exit,ETERNAL,TARGET_HIT,36.20700620249056,9,4.0,3.6170212765958007,2.389265424413705,0.42553191489359515,-0.0
1,8_ETERNAL_exit,ETERNAL,STOP_HIT,-19.87810829364843,9,1.0,0.6557377049180443,0.45896706216325395,0.8196721311475437,0.9024044258850746
1,25_ETERNAL_exit,ETERNAL,STOP_HIT,-20.160051389579724,9,15.0,1.0294117647058683,0.4091672477163757,-0.44117647058821136,0.19230073127490924
1,27_ETERNAL_exit,ETERNAL,STOP_HIT,-19.548090412215274,9,1.0,1.3186813186813193,1.0681547011487273,-2.6373626373627013,-1.5152750317486428
2,153_ETERNAL_exit,ETERNAL,TIME_EXIT,25.749920400000438,10,60.0,1.8556701030927918,4.50015704678322,2.886597938144278,7.170833024876977
2,329_ETERNAL_exit,ETERNAL,TARGET_HIT,51.07949100192875,14,7.0,3.125000000000094,7.536820288862776,5.625000000000205,17.903374157020487
2,eod_flatten_ETERNAL_375,ETERNAL,EOD_FLATTENING,9.133292249999872,14,44.0,1.6091954022988972,2.2737130905388394,2.528735632183972,9.329795513095917
2,120_ETERNAL_exit,ETERNAL,TIME_EXIT,0.28949999999971565,10,60.0,0.2325581395348722,0.42922362566248784,-0.0,2.023135939415716
2,161_ETERNAL_exit,ETERNAL,TARGET_HIT,58.26533959511672,11,40.0,0.9677419354838223,0.5019239908629597,0.32258064516127405,3.275107174355301
2,179_ETERNAL_exit,ETERNAL,STOP_HIT,-30.295085446849733,11,16.0,1.8181818181819045,3.275349640892645,2.7272727272727706,9.181924950783152
2,220_ETERNAL_exit,ETERNAL,TARGET_HIT,54.11060771737924,12,38.0,1.5999999999999666,1.9072840905347543,-1.3333333333333182,3.844408237647896
2,238_ETERNAL_exit,ETERNAL,STOP_HIT,-30.221524188684704,12,17.0,3.4375000000000253,10.063647899100951,5.312500000000031,11.786275012402983
2,306_ETERNAL_exit,ETERNAL,TIME_EXIT,9.100161399999875,13,60.0,0.2985074626865507,0.4067951359501752,-0.8955223880596521,5.066350718960059
